," 	,"	 
sed 	s	ed 
our 	ou	r 
ye	y	e
yes 	ye	s 
y. 	y	. 
fu	f	u
ful	fu	l
ful 	ful	 
ss 	s	s 
, and 	, 	and 
down 	do	wn 
d.	d	.
d. 	d.	 
if 	i	f 
much 	mu	ch 
op	o	p
or	o	r
of	o	f
off 	of	f 
rou	r	ou
out	ou	t
foo	fo	o
foll	fo	ll
follo	foll	o
follow	follo	w
though 	thou	gh 
when the 	when	 the 
voice 	voi	ce 
thought	thou	ght
these 	the	se 
fin	f	in
very	ver	y
could 	c	ould 
there was 	there 	was 
against 	again	st 
sto	s	to
s.	s	.
s. 	s.	 
sc	s	c
spe	sp	e
by the 	by 	the 
ing. 	ing	. 
thing 	th	ing 
low	lo	w
seeme	see	me
seemed 	seeme	d 
with a	with 	a
with a 	with a	 
mber 	mbe	r 
mber	mbe	r
did 	di	d 
for the 	for 	the 
did	di	d
lit	li	t
litt	lit	t
little 	litt	le 
time 	ti	me 
find 	fin	d 
goo	go	o
good 	goo	d 
go 	go	 
going 	go	ing 
going to 	going 	to 
got 	go	t 
der 	de	r 
rough the 	rou	gh the 
rough 	rou	gh 
. he 	. 	he 
peop	pe	op
people 	peop	le 
open	op	en
ant 	an	t 
our	ou	r
ous 	ou	s 
ding 	d	ing 
other 	o	ther 
over 	o	ver 
sti	s	ti
still 	sti	ll 
ings 	ing	s 
. the 	. 	the 
ent	en	t
back	ba	ck
ste	s	te
lan	l	an
most 	mo	st 
cked 	ck	ed 
ree	re	e
ree 	ree	 
time	ti	me
come 	co	me 
urn 	urn	 
ze	z	e
ze 	ze	 
feet 	fee	t 
people	peop	le
s and 	s 	and 
ten 	ten	 
chan	ch	an
ed to 	ed 	to 
must 	mu	st 
den	de	n
den 	den	 
xp	x	p
where	whe	re
va	v	a
ja	j	a
je	j	e
jec	je	c
sho	s	ho
pu	p	u
pro	p	ro
lie	li	e
hich 	hi	ch 
es, 	es	, 
men	me	n
men 	men	 
roo	ro	o
room	roo	m
room 	room	 
row	ro	w
y.	y	.
y. 	y.	 
ys 	y	s 
low 	low	 
lu	l	u
offi	of	fi
cu	c	u
thin	th	in
think	thin	k
think 	think	 
off	of	f
,'	,	'
,' 	,'	 
ques	qu	es
quick	qui	ck
quickly 	quick	ly 
led 	l	ed 
ine	in	e
ine 	ine	 
question	ques	tion
ing.	ing	.
ing. 	ing.	 
air	ai	r
star	st	ar
started 	star	ted 
ing the 	ing 	the 
from the 	f	rom the 
ran	r	an
thats 	that	s 
for a	for 	a
for a 	for a	 
pe 	pe	 
seemed to 	seemed 	to 
ment	me	nt
over the 	over 	the 
they	the	y
opened 	open	ed 
wal	wa	l
walked 	wal	ked 
bi	b	i
cau	ca	u
cause 	cau	se 
in a	in 	a
in a 	in a	 
whate	wha	te
down	do	wn
down the 	down	 the 
hear	he	ar
heard 	hear	d 
minu	min	u
minute	minu	te
minutes 	minute	s 
whatever 	whate	ver 
x 	x	 
**	*	*
****	**	**
cor	co	r
ount	oun	t
por	po	r
port	por	t
pi	p	i
ger 	ge	r 
dy 	d	y 
fel	fe	l
felt 	fel	t 
few	fe	w
few 	few	 
fe 	fe	 
sha	s	ha
ssi	s	si
sen	s	en
shi	s	hi
ship	shi	p
pla	p	la
pre	p	re
per	p	er
par	p	ar
into 	in	to 
walk	wal	k
he was 	he 	was 
poin	po	in
stan	st	an
gir	gi	r
girl	gir	l
ying 	y	ing 
put 	pu	t 
. if 	. i	f 
big	bi	g
big 	big	 
ship 	ship	 
hel	he	l
help	hel	p
help 	help	 
ears 	ear	s 
someone 	some	one 
do you 	do 	you 
mor	mo	r
morn	mor	n
part	par	t
verything 	very	thing 
veryone 	very	one 
than 	th	an 
ant to 	ant 	to 
all the 	all	 the 
said.	said	.
said. 	said.	 
said. 	said	. 
before 	be	fore 
voice	voi	ce
feel 	feel	 
feeling 	feel	ing 
comple	comp	le
like a	like 	a
like a 	like a	 
.  i	.  	i
.  i 	.  i	 
out of 	out 	of 
walk 	walk	 
ment 	me	nt 
oulder	oul	der
che	c	he
here	he	re
here 	he	re 
would be 	would 	be 
wards 	war	ds 
able	ab	le
air 	ai	r 
has 	ha	s 
thinking 	thin	king 
now, 	now	, 
did not 	did 	not 
contro	cont	ro
control	contro	l
had been 	had 	been 
should 	sh	ould 
, but 	, 	but 
, i	, 	i
, i 	, i	 
il	i	l
is	i	s
sur	s	ur
ir	i	r
im	i	m
im 	im	 
ss	s	s
smi	s	mi
swe	s	we
sma	s	ma
small 	sma	ll 
sk	s	k
she	s	he
son	s	on
surp	sur	p
surpri	surp	ri
* 	*	 
cha	c	ha
happ	ha	pp
happen	happ	en
can 	c	an 
ct	c	t
clo	c	lo
c 	c	 
close	clo	se
que	qu	e
ry 	r	y 
ched 	c	hed 
ced 	c	ed 
car	c	ar
?"	?	"
?" 	?"	 
; the 	;	 the 
able to 	able 	to 
each 	ea	ch 
ouldn	ould	n
ouldn't 	ouldn	't 
guar	gu	ar
around 	ar	ound 
imme	im	me
immedi	imme	di
immedia	immedi	a
immediate	immedia	te
girl 	girl	 
selve	sel	ve
work	wor	k
work 	work	 
place 	pla	ce 
they were 	they 	were 
dea	de	a
many 	man	y 
followed 	follow	ed 
complete	comple	te
sor	so	r
completely 	complete	ly 
hands 	hand	s 
ying to 	ying 	to 
took the 	took	 the 
into the 	in	to the 
part 	par	t 
against the 	against 	the 
point	poin	t
act	ac	t
acro	ac	ro
across 	acro	ss 
across the 	across 	the 
actu	act	u
actually 	actu	ally 
came 	ca	me 
lity 	lit	y 
day 	da	y 
row 	row	 
open 	op	en 
ous	ou	s
ously 	ous	ly 
hard 	har	d 
sure 	su	re 
hour	hou	r
house	hou	se
house 	hou	se 
hour 	hou	r 
any	an	y
anything 	any	thing 
any 	an	y 
point 	poin	t 
pointed 	poin	ted 
around the 	around 	the 
bur	bu	r
saw	sa	w
saw 	saw	 
saw the 	saw	 the 
feet	fee	t
get	ge	t
gett	get	t
getting 	gett	ing 
walking 	wal	king 
ft 	f	t 
made 	ma	de 
